gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
FH,0.0013033961134740863,0.05312056891544278,-0.3906195644233364,86.94973364108947,False,False,0.05312056891544278
FSHR,0.4195998914812339,0.6257137969114499,0.07677805973125142,35.190326411549634,False,False,0.6257137969114499
FUCA1,0.40451860425691677,0.6141128761540638,-0.06827155462218763,68.51013276635146,False,False,0.6141128761540638
FUT1,0.21850225952615165,0.44653714468879874,0.164039754248664,34.27676968458222,False,False,0.44653714468879874
FUT6,0.3082893602150767,0.5327615608536065,0.1728332711149784,71.35276682783918,False,False,0.5327615608536065
G6PC,0.2958931880403344,0.521420157934315,-0.21178104705845388,54.29143728860994,False,False,0.521420157934315
GALC,0.32102426893048774,0.5428047197314095,0.09276345889135486,43.62268661871188,False,False,0.5428047197314095
GALK1,0.1281064902838661,0.3416480815396907,-0.18230055539119264,44.514810608654486,False,False,0.3416480815396907
GALT,0.4350067383993107,0.6382467433670959,0.02110378032681089,63.73964560904153,False,False,0.6382467433670959
GBE1,0.6623751309779664,0.8074797106657868,0.20007542627178007,92.14961596233087,False,False,0.8074797106657868
GCDH,0.5515673446241796,0.7290271146211297,0.004784152308555348,50.80923620084437,False,False,0.7290271146211297
GCGR,0.16474235681902172,0.3882103703798216,-0.3104666801950988,55.739729067174395,False,False,0.3882103703798216
GCH1,0.4195998914812339,0.6257137969114499,0.07537965072643592,54.775196168480846,False,False,0.6257137969114499
GHR,0.19022665361389512,0.41673736346411333,0.11490544548655045,38.555759522973034,False,False,0.41673736346411333
GIPR,0.37534599548446845,0.5896609742272984,0.12987045622743537,39.7153431962176,False,False,0.5896609742272984
GJA1,0.33409801251245674,0.5539261223582426,0.10832452746237374,45.64904664202434,False,False,0.5539261223582426
GJB1,0.7209062417708142,0.8425827927158976,-0.04515832379294202,46.35971729929854,False,False,0.8425827927158976
GK,0.989443175779737,0.989443175779737,-0.19862695463230298,76.15285343077124,False,False,0.989443175779737
GLI3,0.04292853120249003,0.2119281250906278,0.22163849065079175,34.98772700239972,False,False,0.2119281250906278
GLDC,0.9472528184220939,0.9714026990668959,-0.001000157338357446,64.59645769072742,False,False,0.9714026990668959
GNAT1,0.03539649957392386,0.1950972390873736,0.22277583860731112,33.58417678460842,False,False,0.1950972390873736
GP1BA,0.260729211005852,0.4886823937643111,0.057421569504090206,36.0624344988567,False,False,0.4886823937643111
GP9,0.029022445732305134,0.17781533555789467,0.30054217657074417,41.89443848772747,False,False,0.17781533555789467
GPI,0.045722962819400546,0.21855127384328812,-0.16090027789982375,198.81235559975227,False,False,0.21855127384328812
GSN,0.36125999554501764,0.5777349781823217,-0.0929756347598846,106.97573666456269,False,False,0.5777349781823217
GSS,0.08784975032756397,0.2874927361710145,0.24604856763817898,58.664478302001946,False,False,0.2874927361710145
MSH6,0.6432933289838867,0.7946893087320641,0.01648024456611457,42.22781409286871,False,False,0.7946893087320641
GUCY2D,0.14923949164251477,0.3695634788358473,0.16302977237715938,35.138706300316784,False,False,0.3695634788358473
GUSB,0.2285672846295076,0.4577530541725056,0.03265970687313702,61.68625799039515,False,False,0.4577530541725056
HADHA,0.40451860425691677,0.6141128761540638,0.05981794005403198,136.4010631282155,False,False,0.6141128761540638
HADHB,0.0003361620536329108,0.03064042600182142,-0.3875287090052056,107.68722403921731,False,False,0.03064042600182142
HBG2,0.4507351553552438,0.6512026688169029,0.08833308183514052,38.886384080095986,False,False,0.6512026688169029
SERPIND1,0.022077450400079766,0.16000746758820053,0.30614387016337796,36.915849918272436,False,False,0.16000746758820053
HGD,0.007825393693027856,0.10685849409748664,-0.6112743855647651,124.37511388266958,False,False,0.10685849409748664
HK1,0.0026686854908562966,0.06994148390554399,-0.41333148391124974,60.97065623213605,False,False,0.06994148390554399
HK2,0.5693898459625074,0.7418265258304658,0.0029701565140245476,40.967731847995665,False,False,0.7418265258304658
HMGCL,0.058478904758101795,0.2382812540716048,-0.15748037020730127,64.87981563661157,False,False,0.2382812540716048
SHH,0.4831380485030482,0.6763640244724144,-0.11012787586735324,33.29925732496308,False,False,0.6763640244724144
HPRT1,0.016625625949665067,0.1429479353841323,-0.2390106483905047,61.59681627227039,False,False,0.1429479353841323
HPS1,0.0024456077521220433,0.06753892572763308,0.28539595843435767,61.30428528204196,False,False,0.06753892572763308
HSD11B2,1.342065197795979e-05,0.0059124362749569045,-1.240754625629096,96.04099403939595,False,False,0.0059124362749569045
HSD17B3,0.04027985378867424,0.2066827883116582,0.3181167398305426,59.31255247534774,False,False,0.2066827883116582
HSD3B2,0.17293466931756118,0.39670346967305165,0.31031541182717487,52.43524169921875,False,False,0.39670346967305165
SGSH,0.624443932080426,0.7814206732912298,0.06331300582921091,49.85208595089796,False,False,0.7814206732912298
HTN3,0.260729211005852,0.4886823937643111,0.18742602545943515,27.602965378179782,False,False,0.4886823937643111
ICAM1,0.10363888953138498,0.30854873258233567,0.38548342616167014,70.2318570206805,False,False,0.30854873258233567
IDS,0.37534599548446845,0.5896609742272984,0.0969655902371107,71.67506408691406,False,False,0.5896609742272984
IDUA,0.06589091634621466,0.2514290833479088,0.22780533648524165,48.70539483791444,False,False,0.2514290833479088
CFI,0.3082893602150767,0.5327615608536065,0.28559219523322915,118.99057732558832,False,False,0.5327615608536065
IL2RG,0.23895815362175832,0.46777853538546277,0.08508716533042661,34.15956720491735,False,False,0.46777853538546277
INS,0.7408068333824819,0.8543473471750226,0.07250709482686366,30.19829205768864,False,False,0.8543473471750226
INSR,0.14923949164251477,0.3695634788358473,-0.06758124429825525,113.89692762421399,False,False,0.3695634788358473
PDX1,0.19933583146564782,0.42673966095208626,0.18007700822234926,40.87510578806807,False,False,0.42673966095208626
ITGA6,0.2285672846295076,0.4577530541725056,0.41809859206378164,84.54338706411966,False,False,0.4577530541725056
ITGB2,0.012393581201533556,0.12912073928602216,0.3877457349260336,46.20439054907821,False,False,0.12912073928602216
JAG1,0.006679034800565386,0.10006654325089986,0.4425638242105736,62.977614798196925,False,False,0.10006654325089986
JAK3,0.19933583146564782,0.42673966095208626,0.13289162797672244,43.935248956447694,False,False,0.42673966095208626
ANOS1,0.013350786562027319,0.13196025841730313,0.34436670938916464,32.35534658664611,False,False,0.13196025841730313
KCNA1,0.23895815362175832,0.46777853538546277,0.09116563039748134,35.23919696342654,False,False,0.46777853538546277
KHK,0.8220307333720004,0.9036379907071128,-0.11942764131757189,64.70546331638243,False,False,0.9036379907071128
KRT12,0.011497666376527875,0.12603158824934554,0.3015437463476064,53.52405027063881,False,False,0.12603158824934554
KRT18,0.014372759535903251,0.1352003913029069,0.3317780468206708,251.75398552126998,False,False,0.1352003913029069
KRT9,0.08784975032756397,0.2874927361710145,0.2193294397674008,32.74691358426722,False,False,0.2874927361710145
LAMA3,0.38976633111321446,0.6013881274672954,0.09840418476469742,37.599481350038104,False,False,0.6013881274672954
LAMB3,0.9472528184220939,0.9714026990668959,0.024947127249949793,33.70326763246118,False,False,0.9714026990668959
LCAT,0.00846220838932997,0.1100324960138949,0.36006008811094065,38.42881905160299,False,False,0.1100324960138949
LEP,0.5515673446241796,0.7290271146211297,0.059532360760704124,33.81767710243783,False,False,0.7290271146211297
SGCG,0.001713611846689513,0.059824452828860494,0.35608829799146235,37.2630645007622,False,False,0.059824452828860494
SGCB,0.3082893602150767,0.5327615608536065,0.23275606460783202,87.41959418320073,False,False,0.5327615608536065
LHCGR,0.9052098937248174,0.948634949229174,3.243329999129668e-05,32.918955081846654,False,False,0.948634949229174
LIG1,0.017864187568058614,0.1461924204209591,0.3031558299260766,36.40276922830721,False,False,0.1461924204209591
LIPA,0.7209062417708142,0.8425827927158976,0.0032283292104503046,63.44532189718106,False,False,0.8425827927158976
LIPC,0.5693898459625074,0.7418265258304658,0.06382672187812999,37.56284034542921,False,False,0.7418265258304658
LYZ,0.005685944009974243,0.09385104550986031,0.4770743652645065,51.317282141708745,False,False,0.09385104550986031
MBL2,0.40451860425691677,0.6141128761540638,0.07985999767372075,30.88605043364734,False,False,0.6141128761540638
MEFV,0.0009855507498558172,0.04798854085416364,0.477048951864943,28.839310994962364,False,False,0.04798854085416364
MLH1,0.4350067383993107,0.6382467433670959,0.061540198690402434,47.76752555661085,False,False,0.6382467433670959
MPO,0.04866910562749915,0.22362166909004638,0.24933234840043142,34.4515551125131,False,False,0.22362166909004638
MSH2,0.24967790631269726,0.47804121487001633,0.09272983514186423,37.5570068359375,False,False,0.47804121487001633
MTM1,0.9683369183479092,0.9818147843822327,-0.014543411060413656,39.94472224537919,False,False,0.9818147843822327
MTTP,0.8842802463955904,0.9378023384569044,-0.03051669957301531,36.885123462211794,False,False,0.9378023384569044
MTR,0.6816786816816041,0.8196712143978893,-0.06098011106683199,43.177434502578365,False,False,0.8196712143978893
MMUT,0.013350786562027319,0.13196025841730313,-0.2471044725802675,51.535094284429775,False,False,0.13196025841730313
MYBPC3,0.14191804589421084,0.3592215599426242,0.16754841433087686,33.1566616616598,False,False,0.3592215599426242
MYH7,0.03315049232647237,0.18775131910520915,0.28665388544141446,25.469270194449074,False,False,0.18775131910520915
MYL3,0.4507351553552438,0.6512026688169029,0.023634064774576153,55.50635165703006,False,False,0.6512026688169029
MYO5A,0.19933583146564782,0.42673966095208626,0.1301963355424887,41.05545276548804,False,False,0.42673966095208626
MYOC,0.17293466931756118,0.39670346967305165,0.1675484790094835,35.28877779332603,False,False,0.39670346967305165
NAGA,0.03315049232647237,0.18775131910520915,0.209126068250593,35.251706286174496,False,False,0.18775131910520915
NAGLU,0.016625625949665067,0.1429479353841323,0.3433223566124092,46.871060627262764,False,False,0.1429479353841323
PTCH1,0.2838351887755598,0.510627369753445,0.1350054495508652,42.46943590117664,False,False,0.510627369753445
NCF1,0.12160444190461399,0.3332415563627181,0.38515727658713345,57.95831122049471,False,False,0.3332415563627181
NDP,0.010659704589948832,0.12182613590353504,0.2215076875863222,32.87111468431426,False,False,0.12182613590353504
NF1,0.8426765356863225,0.9143285017184087,-0.027471689708464385,67.82083818389148,False,False,0.9143285017184087
PNP,0.0005535752815189579,0.03671255711091498,-0.4627270906774521,111.33348604527914,False,False,0.03671255711091498
NPC1,0.8015074505848662,0.8909222851238603,-0.005233979992142936,52.56006445535799,False,False,0.8909222851238603
GPR143,0.36125999554501764,0.5777349781823217,0.09267214171809955,29.645323264889598,False,False,0.5777349781823217
OAT,0.03315049232647237,0.18775131910520915,-0.25146245792440275,84.19128455185307,False,False,0.18775131910520915
OCA2,0.16474235681902172,0.3882103703798216,0.16952992653202242,34.95561078699623,False,False,0.3882103703798216
OCRL,0.013350786562027319,0.13196025841730313,0.2727473601931984,40.33429438893388,False,False,0.13196025841730313
PAH,0.4350067383993107,0.6382467433670959,-0.3453478513876675,84.13551646907155,False,False,0.6382467433670959
PAX2,0.051773021863578635,0.22566695489794947,-0.182118682714479,79.80665662812024,False,False,0.22566695489794947
PAX6,0.027129857009108596,0.1741185377174944,0.32003810381213554,34.96109264652903,False,False,0.1741185377174944
PCBD1,0.20875968480124474,0.4366090706315623,0.2080576151210148,177.28940638100227,False,False,0.4366090706315623
PCCA,0.0003719190084316969,0.031567052353264624,-0.5779851489495313,85.4097474261028,False,False,0.031567052353264624
PDE6B,0.03315049232647237,0.18775131910520915,0.3423903810028312,32.0619151883009,False,False,0.18775131910520915
PDHA1,0.00011795478369710232,0.020589786441014002,-0.4763214750287567,97.29492969047732,False,False,0.020589786441014002
PEPD,0.04292853120249003,0.2119281250906278,-0.41145923749462593,178.85236153951504,False,False,0.2119281250906278
