"cell_Names","genes","db","index"
"Megakaryocyte","SDPR","post_annot","197"
"Megakaryocyte","CD9","post_annot","198"
"Megakaryocyte","ACTN1","post_annot","199"
"Megakaryocyte","TLN1","post_annot","200"
"Megakaryocyte","RGS18","post_annot","201"
"Megakaryocyte","GP1BA","post_annot","202"
"Megakaryocyte","TPM1","post_annot","203"
"Megakaryocyte","TGFB1","post_annot","204"
"Megakaryocyte","TREML1","post_annot","205"
"Megakaryocyte","RAB27B","post_annot","206"
"Megakaryocyte","RAP1B","post_annot","207"
"Megakaryocyte","C6orf25","post_annot","208"
"Megakaryocyte","CDKN2D","post_annot","209"
"Megakaryocyte","TIMP3","post_annot","210"
"Mast.cell","TPSB2","post_annot","211"
"Mast.cell","TPSAB1","post_annot","212"
"Mast.cell","CPA3","post_annot","213"
"Mast.cell","LMO4","post_annot","214"
"Mast.cell","HPGDS","post_annot","215"
"Mast.cell","HPGD","post_annot","216"
"Mast.cell","C1orf186","post_annot","217"
"Mast.cell","PLA2G2A","post_annot","218"
"Mast.cell","CNRIP1","post_annot","219"
"Mast.cell","VWA5A","post_annot","220"
"Mast.cell","RP11-354E11.2","post_annot","221"
"Mast.cell","HDC","post_annot","222"
"Mast.cell","ALDH1A1","post_annot","223"
"Mast.cell","GATA2","post_annot","224"
"Mast.cell","SLC18A2","post_annot","225"
"Mast.cell","ANXA1","post_annot","226"
"Mast.cell","MS4A2","post_annot","227"
"Mast.cell","KIT","post_annot","228"
"Mast.cell","IL1RL1","post_annot","229"
"Mast.cell","TNFSF10","post_annot","230"
"Mast.cell","RP11-620J15.3","post_annot","231"
"Mast.cell","EPX","post_annot","232"
"Mast.cell","CTSG","post_annot","233"
"Mast.cell","EXOSC8","post_annot","234"
"Mast.cell","MS4A3","post_annot","235"
"Mast.cell","CD63","post_annot","236"
"Mast.cell","GRAP2","post_annot","237"
"Mast.cell","CTNNBL1","post_annot","238"
"Mast.cell","XXbac-BPG13B8.10","post_annot","239"
"Mast.cell","LAPTM4A","post_annot","240"
"MEMP","HBD","post_annot","241"
"MEMP","DHRS9","post_annot","242"
"MEMP","CYTL1","post_annot","243"
"MEMP","CNRIP1","post_annot","244"
"MEMP","CTNNBL1","post_annot","245"
"MEMP","GATA2","post_annot","246"
"MEMP","NAA38","post_annot","247"
"MEMP","PRSS57","post_annot","248"
"MEMP","CXCL3","post_annot","249"
"MEMP","LDHB","post_annot","250"
"MEMP","NME1","post_annot","251"
"MEMP","HMGA1","post_annot","252"
"MEMP","SLC39A3","post_annot","253"
"MEMP","RP11-620J15.3","post_annot","254"
"MEMP","NPM1","post_annot","255"
"MEMP","SNRPD1","post_annot","256"
"MEMP","FKBP4","post_annot","257"
"MEMP","CKB","post_annot","258"
"MEMP","NCL","post_annot","259"
"MEMP","EIF5A","post_annot","260"
"MEMP","CDK4","post_annot","261"
"MEMP","DUT","post_annot","262"
"MEMP","RANBP1","post_annot","263"
"MEMP","C1QBP","post_annot","264"
"MEMP","NME4","post_annot","265"
"MEMP","SSB","post_annot","266"
"MEMP","RAN","post_annot","267"
"MEMP","SERPINB1","post_annot","268"
"MEMP","PA2G4","post_annot","269"
"MEMP","DCTPP1","post_annot","270"
"VCAM1..EI.macrophage","HBG1","post_annot","271"
"VCAM1..EI.macrophage","HBB","post_annot","272"
"VCAM1..EI.macrophage","HBA2","post_annot","273"
"VCAM1..EI.macrophage","HBA1","post_annot","274"
"VCAM1..EI.macrophage","HBG2","post_annot","275"
"VCAM1..EI.macrophage","HBM","post_annot","276"
"VCAM1..EI.macrophage","SLC25A37","post_annot","277"
"VCAM1..EI.macrophage","HBZ","post_annot","278"
"VCAM1..EI.macrophage","ALAS2","post_annot","279"
"VCAM1..EI.macrophage","SLC4A1","post_annot","280"
"VCAM1..EI.macrophage","AHSP","post_annot","281"
"VCAM1..EI.macrophage","GYPA","post_annot","282"
"VCAM1..EI.macrophage","HBE1","post_annot","283"
"VCAM1..EI.macrophage","HEMGN","post_annot","284"
"VCAM1..EI.macrophage","SNCA","post_annot","285"
"VCAM1..EI.macrophage","BPGM","post_annot","286"
"VCAM1..EI.macrophage","HMBS","post_annot","287"
"VCAM1..EI.macrophage","GYPB","post_annot","288"
"VCAM1..EI.macrophage","BLVRB","post_annot","289"
"VCAM1..EI.macrophage","TMCC2","post_annot","290"
"VCAM1..EI.macrophage","SLC25A39","post_annot","291"
"VCAM1..EI.macrophage","C1QA","post_annot","292"
"VCAM1..EI.macrophage","SLC2A1","post_annot","293"
"VCAM1..EI.macrophage","EPB42","post_annot","294"
"VCAM1..EI.macrophage","MARCO","post_annot","295"
"VCAM1..EI.macrophage","SELENBP1","post_annot","296"
"VCAM1..EI.macrophage","C1QB","post_annot","297"
"VCAM1..EI.macrophage","C1QC","post_annot","298"
"VCAM1..EI.macrophage","FECH","post_annot","299"
"VCAM1..EI.macrophage","CD5L","post_annot","300"
"Kupffer.Cell","C1QB","post_annot","301"
"Kupffer.Cell","C1QC","post_annot","302"
"Kupffer.Cell","C1QA","post_annot","303"
"Kupffer.Cell","CD5L","post_annot","304"
"Kupffer.Cell","LIPA","post_annot","305"
"Kupffer.Cell","HMOX1","post_annot","306"
"Kupffer.Cell","LGMN","post_annot","307"
"Kupffer.Cell","FTL","post_annot","308"
"Kupffer.Cell","CTSB","post_annot","309"
"Kupffer.Cell","MARCO","post_annot","310"
"Kupffer.Cell","SLC40A1","post_annot","311"
"Kupffer.Cell","MS4A7","post_annot","312"
"Kupffer.Cell","TIMD4","post_annot","313"
"Kupffer.Cell","CD68","post_annot","314"
"Kupffer.Cell","RNASE1","post_annot","315"
"Kupffer.Cell","CETP","post_annot","316"
"Kupffer.Cell","FOLR2","post_annot","317"
"Kupffer.Cell","FCGR3A","post_annot","318"
"Kupffer.Cell","SEPP1","post_annot","319"
"Kupffer.Cell","PSAP","post_annot","320"
"Kupffer.Cell","FCGRT","post_annot","321"
"Kupffer.Cell","CTSD","post_annot","322"
"Kupffer.Cell","MS4A6A","post_annot","323"
"Kupffer.Cell","CTSL","post_annot","324"
"Kupffer.Cell","CD163","post_annot","325"
"Kupffer.Cell","NPC2","post_annot","326"
"Kupffer.Cell","VSIG4","post_annot","327"
"Kupffer.Cell","CREG1","post_annot","328"
"Kupffer.Cell","PLD3","post_annot","329"
"Kupffer.Cell","LILRB5","post_annot","330"
"Mono.Mac","C1QC","post_annot","331"
"Mono.Mac","C1QA","post_annot","332"
"Mono.Mac","C1QB","post_annot","333"
"Mono.Mac","HMOX1","post_annot","334"
"Mono.Mac","MS4A7","post_annot","335"
"Mono.Mac","SLC40A1","post_annot","336"
"Mono.Mac","FOLR2","post_annot","337"
"Mono.Mac","MS4A6A","post_annot","338"
"Mono.Mac","CD14","post_annot","339"
"Mono.Mac","SAT1","post_annot","340"
"Mono.Mac","NPC2","post_annot","341"
"Mono.Mac","FCGR3A","post_annot","342"
"Mono.Mac","CSF1R","post_annot","343"
"Mono.Mac","CD68","post_annot","344"
"Mono.Mac","RNASE1","post_annot","345"
"Mono.Mac","TYROBP","post_annot","346"
"Mono.Mac","FTL","post_annot","347"
"Mono.Mac","HLA-DRB1","post_annot","348"
"Mono.Mac","RNASET2","post_annot","349"
"Mono.Mac","MS4A4A","post_annot","350"
"Mono.Mac","FCGRT","post_annot","351"
"Mono.Mac","CST3","post_annot","352"
"Mono.Mac","MAFB","post_annot","353"
"Mono.Mac","CD163","post_annot","354"
"Mono.Mac","PSAP","post_annot","355"
"Mono.Mac","CXCL8","post_annot","356"
"Mono.Mac","LIPA","post_annot","357"
"Mono.Mac","AIF1","post_annot","358"
"Mono.Mac","CTSB","post_annot","359"
"Mono.Mac","HES1","post_annot","360"
"Monocyte","S100A9","post_annot","361"
"Monocyte","S100A8","post_annot","362"
"Monocyte","S100A12","post_annot","363"
"Monocyte","IL1B","post_annot","364"
"Monocyte","FCN1","post_annot","365"
"Monocyte","G0S2","post_annot","366"
"Monocyte","CXCL8","post_annot","367"
"Monocyte","VCAN","post_annot","368"
"Monocyte","CCL3L3","post_annot","369"
"Monocyte","LYZ","post_annot","370"
"Monocyte","MNDA","post_annot","371"
"Monocyte","CSTA","post_annot","372"
"Monocyte","PLAUR","post_annot","373"
"Monocyte","S100A6","post_annot","374"
"Monocyte","TSPO","post_annot","375"
"Monocyte","IL1RN","post_annot","376"
"Monocyte","SOD2","post_annot","377"
"Monocyte","CCL4L2","post_annot","378"
"Monocyte","BCL2A1","post_annot","379"
"Monocyte","RETN","post_annot","380"
"Monocyte","TYROBP","post_annot","381"
"Monocyte","S100A11","post_annot","382"
"Monocyte","S100A4","post_annot","383"
"Monocyte","CTSS","post_annot","384"
"Monocyte","LGALS1","post_annot","385"
"Monocyte","CCL3","post_annot","386"
"Monocyte","NAMPT","post_annot","387"
"Monocyte","CCL4","post_annot","388"
"Monocyte","NFKBIA","post_annot","389"
"Monocyte","PLBD1","post_annot","390"
"Monocyte.precursor","S100A8","post_annot","391"
"Monocyte.precursor","LYZ","post_annot","392"
"Monocyte.precursor","S100A9","post_annot","393"
"Monocyte.precursor","RETN","post_annot","394"
"Monocyte.precursor","FCN1","post_annot","395"
"Monocyte.precursor","RP11-1143G9.4","post_annot","396"
"Monocyte.precursor","LGALS1","post_annot","397"
"Monocyte.precursor","MNDA","post_annot","398"
"Monocyte.precursor","S100A12","post_annot","399"
"Monocyte.precursor","TSPO","post_annot","400"
"Monocyte.precursor","RNASE2","post_annot","401"
"Monocyte.precursor","CSTA","post_annot","402"
"Monocyte.precursor","VCAN","post_annot","403"
"Monocyte.precursor","S100A6","post_annot","404"
"Monocyte.precursor","S100A4","post_annot","405"
"Monocyte.precursor","S100A11","post_annot","406"
"Monocyte.precursor","STXBP2","post_annot","407"
"Monocyte.precursor","NUP214","post_annot","408"
"Monocyte.precursor","CAPG","post_annot","409"
"Monocyte.precursor","UBE2C","post_annot","410"
"Monocyte.precursor","TKT","post_annot","411"
"Monocyte.precursor","PLBD1","post_annot","412"
"Monocyte.precursor","TOP2A","post_annot","413"
"Monocyte.precursor","HMGB2","post_annot","414"
"Monocyte.precursor","PYCARD","post_annot","415"
"Monocyte.precursor","HIST1H4C","post_annot","416"
"Monocyte.precursor","ANXA2","post_annot","417"
"Monocyte.precursor","H1FX","post_annot","418"
"Monocyte.precursor","SELL","post_annot","419"
"Monocyte.precursor","BLOC1S1","post_annot","420"
"DC2","CLEC10A","post_annot","421"
"DC2","HLA-DPA1","post_annot","422"
"DC2","HLA-DPB1","post_annot","423"
"DC2","HLA-DRA","post_annot","424"
"DC2","HLA-DRB1","post_annot","425"
"DC2","HLA-DQA1","post_annot","426"
"DC2","HLA-DRB5","post_annot","427"
"DC2","HLA-DQB1","post_annot","428"
"DC2","CST3","post_annot","429"
"DC2","CD74","post_annot","430"
"DC2","HLA-DQA2","post_annot","431"
"DC2","TYROBP","post_annot","432"
"DC2","JAML","post_annot","433"
"DC2","RNASE6","post_annot","434"
"DC2","HLA-DMA","post_annot","435"
"DC2","HLA-DMB","post_annot","436"
"DC2","CD1C","post_annot","437"
"DC2","MNDA","post_annot","438"
"DC2","AIF1","post_annot","439"
"DC2","SAT1","post_annot","440"
"DC2","TYMP","post_annot","441"
"DC2","SAMHD1","post_annot","442"
"DC2","S100A11","post_annot","443"
"DC2","CLEC7A","post_annot","444"
"DC2","LY86","post_annot","445"
"DC2","C1orf162","post_annot","446"
"DC2","FGL2","post_annot","447"
"DC2","S100A4","post_annot","448"
"DC2","FAM26F","post_annot","449"
"DC2","IFI30","post_annot","450"
"DC1","HLA-DPB1","post_annot","451"
"DC1","HLA-DPA1","post_annot","452"
"DC1","HLA-DQB1","post_annot","453"
"DC1","S100B","post_annot","454"
"DC1","CD74","post_annot","455"
"DC1","HLA-DRB1","post_annot","456"
"DC1","HLA-DQA1","post_annot","457"
"DC1","CST3","post_annot","458"
"DC1","HLA-DRA","post_annot","459"
"DC1","CLEC9A","post_annot","460"
"DC1","HLA-DRB5","post_annot","461"
"DC1","CPVL","post_annot","462"
"DC1","LGALS2","post_annot","463"
"DC1","SNX3","post_annot","464"
"DC1","C1orf54","post_annot","465"
"DC1","IDO1","post_annot","466"
"DC1","IRF8","post_annot","467"
"DC1","HLA-DQA2","post_annot","468"
"DC1","RGS10","post_annot","469"
"DC1","BATF3","post_annot","470"
"DC1","TMSB4X","post_annot","471"
"DC1","HLA-DMA","post_annot","472"
"DC1","ID2","post_annot","473"
"DC1","DNASE1L3","post_annot","474"
"DC1","S100A10","post_annot","475"
"DC1","CPNE3","post_annot","476"
"DC1","FGL2","post_annot","477"
"DC1","LSP1","post_annot","478"
"DC1","CD83","post_annot","479"
"DC1","PSMB9","post_annot","480"
"DC.precursor","CD1C","post_annot","481"
"DC.precursor","CLEC10A","post_annot","482"
"DC.precursor","ANXA2","post_annot","483"
"DC.precursor","UBE2C","post_annot","484"
"DC.precursor","ANXA1","post_annot","485"
"DC.precursor","HLA-DPA1","post_annot","486"
"DC.precursor","CST3","post_annot","487"
"DC.precursor","S100A4","post_annot","488"
"DC.precursor","HLA-DRB1","post_annot","489"
"DC.precursor","LGALS1","post_annot","490"
"DC.precursor","ENHO","post_annot","491"
"DC.precursor","COTL1","post_annot","492"
"DC.precursor","HLA-DRA","post_annot","493"
"DC.precursor","S100A10","post_annot","494"
"DC.precursor","SAMHD1","post_annot","495"
"DC.precursor","CD74","post_annot","496"
"DC.precursor","MKI67","post_annot","497"
"DC.precursor","HIST1H4C","post_annot","498"
"DC.precursor","HLA-DRB5","post_annot","499"
"DC.precursor","S100A11","post_annot","500"
"DC.precursor","HMGB2","post_annot","501"
"DC.precursor","HLA-DPB1","post_annot","502"
"DC.precursor","TMSB10","post_annot","503"
"DC.precursor","JAML","post_annot","504"
"DC.precursor","CKS1B","post_annot","505"
"DC.precursor","VIM","post_annot","506"
"DC.precursor","GPR183","post_annot","507"
"DC.precursor","KPNA2","post_annot","508"
"DC.precursor","LSP1","post_annot","509"
"DC.precursor","TOP2A","post_annot","510"
"pDC.precursor","GZMB","post_annot","511"
"pDC.precursor","JCHAIN","post_annot","512"
"pDC.precursor","IRF7","post_annot","513"
"pDC.precursor","PLAC8","post_annot","514"
"pDC.precursor","CCDC50","post_annot","515"
"pDC.precursor","MZB1","post_annot","516"
"pDC.precursor","IRF8","post_annot","517"
"pDC.precursor","GPR183","post_annot","518"
"pDC.precursor","TPM2","post_annot","519"
"pDC.precursor","PLD4","post_annot","520"
"pDC.precursor","IGLC3","post_annot","521"
"pDC.precursor","IL3RA","post_annot","522"
"pDC.precursor","PLP2","post_annot","523"
"pDC.precursor","C12orf75","post_annot","524"
"pDC.precursor","IGLC2","post_annot","525"
"pDC.precursor","SPIB","post_annot","526"
"pDC.precursor","HERPUD1","post_annot","527"
"pDC.precursor","RNASE6","post_annot","528"
"pDC.precursor","TCF4","post_annot","529"
"pDC.precursor","UGCG","post_annot","530"
"pDC.precursor","LILRA4","post_annot","531"
"pDC.precursor","IGKC","post_annot","532"
"pDC.precursor","ITM2C","post_annot","533"
"pDC.precursor","ALOX5AP","post_annot","534"
"pDC.precursor","SERPINF1","post_annot","535"
"pDC.precursor","TNNI2","post_annot","536"
"pDC.precursor","SEC61B","post_annot","537"
"pDC.precursor","SCT","post_annot","538"
"pDC.precursor","RGS2","post_annot","539"
"pDC.precursor","LSP1","post_annot","540"
"Neutrophil.myeloid.progenitor","PRTN3","post_annot","541"
"Neutrophil.myeloid.progenitor","AZU1","post_annot","542"
"Neutrophil.myeloid.progenitor","MPO","post_annot","543"
"Neutrophil.myeloid.progenitor","CTSG","post_annot","544"
"Neutrophil.myeloid.progenitor","ELANE","post_annot","545"
"Neutrophil.myeloid.progenitor","PRSS57","post_annot","546"
"Neutrophil.myeloid.progenitor","CLEC11A","post_annot","547"
"Neutrophil.myeloid.progenitor","LYZ","post_annot","548"
"Neutrophil.myeloid.progenitor","MS4A3","post_annot","549"
"Neutrophil.myeloid.progenitor","RNASE2","post_annot","550"
"Neutrophil.myeloid.progenitor","RETN","post_annot","551"
"Neutrophil.myeloid.progenitor","SRGN","post_annot","552"
"Neutrophil.myeloid.progenitor","CALR","post_annot","553"
"Neutrophil.myeloid.progenitor","NUCB2","post_annot","554"
"Neutrophil.myeloid.progenitor","CFD","post_annot","555"
"Neutrophil.myeloid.progenitor","RP11-620J15.3","post_annot","556"
"Neutrophil.myeloid.progenitor","SDF2L1","post_annot","557"
"Neutrophil.myeloid.progenitor","RP11-1143G9.4","post_annot","558"
"Neutrophil.myeloid.progenitor","SERPINB1","post_annot","559"
"Neutrophil.myeloid.progenitor","PLAC8","post_annot","560"
"Neutrophil.myeloid.progenitor","RNASE3","post_annot","561"
"Neutrophil.myeloid.progenitor","KCNE5","post_annot","562"
"Neutrophil.myeloid.progenitor","VAMP8","post_annot","563"
"Neutrophil.myeloid.progenitor","RPS14","post_annot","564"
"Neutrophil.myeloid.progenitor","TSPO","post_annot","565"
"Neutrophil.myeloid.progenitor","SMIM24","post_annot","566"
"Neutrophil.myeloid.progenitor","C1QTNF4","post_annot","567"
"Neutrophil.myeloid.progenitor","RPS19","post_annot","568"
"Neutrophil.myeloid.progenitor","SSR4","post_annot","569"
"Neutrophil.myeloid.progenitor","RPLP1","post_annot","570"
"NK","NKG7","post_annot","571"
"NK","KLRB1","post_annot","572"
"NK","CCL4","post_annot","573"
"NK","GZMA","post_annot","574"
"NK","CMC1","post_annot","575"
"NK","CCL3","post_annot","576"
"NK","IFNG","post_annot","577"
"NK","CCL5","post_annot","578"
"NK","GNLY","post_annot","579"
"NK","XCL1","post_annot","580"
"NK","CTSW","post_annot","581"
"NK","KLRC1","post_annot","582"
"NK","CST7","post_annot","583"
"NK","XCL2","post_annot","584"
"NK","CD69","post_annot","585"
"NK","PRF1","post_annot","586"
"NK","CD7","post_annot","587"
"NK","GZMM","post_annot","588"
"NK","IFITM1","post_annot","589"
"NK","IL2RB","post_annot","590"
"NK","KLRD1","post_annot","591"
"NK","GZMK","post_annot","592"
"NK","TRDC","post_annot","593"
"NK","CD3D","post_annot","594"
"NK","NFKBIA","post_annot","595"
"NK","CCL4L2","post_annot","596"
"NK","GZMH","post_annot","597"
"NK","IFITM2","post_annot","598"
"NK","CLIC3","post_annot","599"
"NK","CD247","post_annot","600"
"Early.lymphoid.T.lymphocyte","IL32","post_annot","601"
"Early.lymphoid.T.lymphocyte","TRAC","post_annot","602"
"Early.lymphoid.T.lymphocyte","CD3D","post_annot","603"
"Early.lymphoid.T.lymphocyte","TRBC2","post_annot","604"
"Early.lymphoid.T.lymphocyte","IL7R","post_annot","605"
"Early.lymphoid.T.lymphocyte","TRBC1","post_annot","606"
"Early.lymphoid.T.lymphocyte","CD3E","post_annot","607"
"Early.lymphoid.T.lymphocyte","CD52","post_annot","608"
