"cell_Names","genes","db","index"
"Hepatocyte","ALB","post_annot","1"
"Hepatocyte","APOA2","post_annot","2"
"Hepatocyte","APOA1","post_annot","3"
"Hepatocyte","AFP","post_annot","4"
"Hepatocyte","MT1G","post_annot","5"
"Hepatocyte","MT1H","post_annot","6"
"Hepatocyte","AHSG","post_annot","7"
"Hepatocyte","SERPINA1","post_annot","8"
"Hepatocyte","TTR","post_annot","9"
"Hepatocyte","APOC3","post_annot","10"
"Hepatocyte","FABP1","post_annot","11"
"Hepatocyte","AMBP","post_annot","12"
"Hepatocyte","RBP4","post_annot","13"
"Hepatocyte","MT1E","post_annot","14"
"Hepatocyte","APOH","post_annot","15"
"Hepatocyte","MT2A","post_annot","16"
"Hepatocyte","FGB","post_annot","17"
"Hepatocyte","VTN","post_annot","18"
"Hepatocyte","TF","post_annot","19"
"Hepatocyte","MT1X","post_annot","20"
"Hepatocyte","APOC1","post_annot","21"
"Hepatocyte","FGG","post_annot","22"
"Hepatocyte","MT1F","post_annot","23"
"Hepatocyte","APOB","post_annot","24"
"Hepatocyte","AGT","post_annot","25"
"Hepatocyte","APOM","post_annot","26"
"Hepatocyte","FGA","post_annot","27"
"Hepatocyte","APOE","post_annot","28"
"Hepatocyte","CLU","post_annot","29"
"Hepatocyte","GPC3","post_annot","30"
"Fibroblast","DLK1","post_annot","31"
"Fibroblast","COLEC11","post_annot","32"
"Fibroblast","SPARC","post_annot","33"
"Fibroblast","DCN","post_annot","34"
"Fibroblast","IGFBP3","post_annot","35"
"Fibroblast","BGN","post_annot","36"
"Fibroblast","RBP1","post_annot","37"
"Fibroblast","PTN","post_annot","38"
"Fibroblast","COL3A1","post_annot","39"
"Fibroblast","MEG3","post_annot","40"
"Fibroblast","GPX3","post_annot","41"
"Fibroblast","ECM1","post_annot","42"
"Fibroblast","DIO3","post_annot","43"
"Fibroblast","IGF2","post_annot","44"
"Fibroblast","COL1A1","post_annot","45"
"Fibroblast","TPM1","post_annot","46"
"Fibroblast","HGF","post_annot","47"
"Fibroblast","CALD1","post_annot","48"
"Fibroblast","COLEC10","post_annot","49"
"Fibroblast","CXCL12","post_annot","50"
"Fibroblast","MDK","post_annot","51"
"Fibroblast","CXCL14","post_annot","52"
"Fibroblast","KRT18","post_annot","53"
"Fibroblast","COL6A2","post_annot","54"
"Fibroblast","IGFBP7","post_annot","55"
"Fibroblast","ASPN","post_annot","56"
"Fibroblast","COL1A2","post_annot","57"
"Fibroblast","IFITM3","post_annot","58"
"Fibroblast","OLFML3","post_annot","59"
"Fibroblast","CCL2","post_annot","60"
"Endothelial.cell","FCN3","post_annot","61"
"Endothelial.cell","CRHBP","post_annot","62"
"Endothelial.cell","CLEC1B","post_annot","63"
"Endothelial.cell","DNASE1L3","post_annot","64"
"Endothelial.cell","OIT3","post_annot","65"
"Endothelial.cell","NTS","post_annot","66"
"Endothelial.cell","FGF23","post_annot","67"
"Endothelial.cell","ACP5","post_annot","68"
"Endothelial.cell","RAMP2","post_annot","69"
"Endothelial.cell","CLDN5","post_annot","70"
"Endothelial.cell","S100A16","post_annot","71"
"Endothelial.cell","AKAP12","post_annot","72"
"Endothelial.cell","IFITM3","post_annot","73"
"Endothelial.cell","TM4SF1","post_annot","74"
"Endothelial.cell","GNG11","post_annot","75"
"Endothelial.cell","KDR","post_annot","76"
"Endothelial.cell","LYVE1","post_annot","77"
"Endothelial.cell","C8orf4","post_annot","78"
"Endothelial.cell","PLPP3","post_annot","79"
"Endothelial.cell","PRCP","post_annot","80"
"Endothelial.cell","SDPR","post_annot","81"
"Endothelial.cell","CAV1","post_annot","82"
"Endothelial.cell","ADM","post_annot","83"
"Endothelial.cell","STAB2","post_annot","84"
"Endothelial.cell","MARCKSL1","post_annot","85"
"Endothelial.cell","CTSL","post_annot","86"
"Endothelial.cell","CD36","post_annot","87"
"Endothelial.cell","FCN2","post_annot","88"
"Endothelial.cell","HES1","post_annot","89"
"Endothelial.cell","ECM1","post_annot","90"
"Late.Erythroid","HBB","post_annot","91"
"Late.Erythroid","HBG2","post_annot","92"
"Late.Erythroid","HBA2","post_annot","93"
"Late.Erythroid","HBG1","post_annot","94"
"Late.Erythroid","HBA1","post_annot","95"
"Late.Erythroid","HBZ","post_annot","96"
"Late.Erythroid","HBM","post_annot","97"
"Late.Erythroid","ALAS2","post_annot","98"
"Late.Erythroid","AHSP","post_annot","99"
"Late.Erythroid","SLC25A37","post_annot","100"
"Late.Erythroid","GYPA","post_annot","101"
"Late.Erythroid","GYPB","post_annot","102"
"Late.Erythroid","HEMGN","post_annot","103"
"Late.Erythroid","SNCA","post_annot","104"
"Late.Erythroid","PRDX2","post_annot","105"
"Late.Erythroid","SLC4A1","post_annot","106"
"Late.Erythroid","HMBS","post_annot","107"
"Late.Erythroid","BPGM","post_annot","108"
"Late.Erythroid","HBE1","post_annot","109"
"Late.Erythroid","MYL4","post_annot","110"
"Late.Erythroid","BLVRB","post_annot","111"
"Late.Erythroid","SLC25A39","post_annot","112"
"Late.Erythroid","SELENBP1","post_annot","113"
"Late.Erythroid","FECH","post_annot","114"
"Late.Erythroid","EPB42","post_annot","115"
"Late.Erythroid","SLC2A1","post_annot","116"
"Late.Erythroid","UROD","post_annot","117"
"Late.Erythroid","ARL4A","post_annot","118"
"Late.Erythroid","GYPC","post_annot","119"
"Late.Erythroid","MGST3","post_annot","120"
"Mid.Erythroid","AHSP","post_annot","121"
"Mid.Erythroid","PRDX2","post_annot","122"
"Mid.Erythroid","HBM","post_annot","123"
"Mid.Erythroid","HBZ","post_annot","124"
"Mid.Erythroid","BLVRB","post_annot","125"
"Mid.Erythroid","GYPA","post_annot","126"
"Mid.Erythroid","HBG2","post_annot","127"
"Mid.Erythroid","MYL4","post_annot","128"
"Mid.Erythroid","ALAS2","post_annot","129"
"Mid.Erythroid","HMBS","post_annot","130"
"Mid.Erythroid","HEMGN","post_annot","131"
"Mid.Erythroid","GYPB","post_annot","132"
"Mid.Erythroid","HBA1","post_annot","133"
"Mid.Erythroid","FAM178B","post_annot","134"
"Mid.Erythroid","UROD","post_annot","135"
"Mid.Erythroid","KLF1","post_annot","136"
"Mid.Erythroid","MGST3","post_annot","137"
"Mid.Erythroid","SLC25A37","post_annot","138"
"Mid.Erythroid","SLC4A1","post_annot","139"
"Mid.Erythroid","HBA2","post_annot","140"
"Mid.Erythroid","GYPC","post_annot","141"
"Mid.Erythroid","TMEM14B","post_annot","142"
"Mid.Erythroid","UBAC1","post_annot","143"
"Mid.Erythroid","TMEM14C","post_annot","144"
"Mid.Erythroid","OAT","post_annot","145"
"Mid.Erythroid","SELENBP1","post_annot","146"
"Mid.Erythroid","KCNH2","post_annot","147"
"Mid.Erythroid","RFESD","post_annot","148"
"Mid.Erythroid","FECH","post_annot","149"
"Mid.Erythroid","SLC25A39","post_annot","150"
"Early.Erythroid","FAM178B","post_annot","151"
"Early.Erythroid","MYC","post_annot","152"
"Early.Erythroid","KLF1","post_annot","153"
"Early.Erythroid","REXO2","post_annot","154"
"Early.Erythroid","RPL22L1","post_annot","155"
"Early.Erythroid","KCNH2","post_annot","156"
"Early.Erythroid","CNRIP1","post_annot","157"
"Early.Erythroid","HMGA1","post_annot","158"
"Early.Erythroid","PRDX2","post_annot","159"
"Early.Erythroid","NME4","post_annot","160"
"Early.Erythroid","FKBP4","post_annot","161"
"Early.Erythroid","APOC1","post_annot","162"
"Early.Erythroid","EPCAM","post_annot","163"
"Early.Erythroid","SYNGR1","post_annot","164"
"Early.Erythroid","NME1","post_annot","165"
"Early.Erythroid","TMEM14C","post_annot","166"
"Early.Erythroid","BLVRB","post_annot","167"
"Early.Erythroid","MPC2","post_annot","168"
"Early.Erythroid","ATP5G1","post_annot","169"
"Early.Erythroid","ATPIF1","post_annot","170"
"Early.Erythroid","S100A6","post_annot","171"
"Early.Erythroid","NPM1","post_annot","172"
"Early.Erythroid","EIF5A","post_annot","173"
"Early.Erythroid","PNMT","post_annot","174"
"Early.Erythroid","TMEM14B","post_annot","175"
"Early.Erythroid","NCL","post_annot","176"
"Early.Erythroid","PA2G4","post_annot","177"
"Early.Erythroid","SLIRP","post_annot","178"
"Early.Erythroid","SNRPD1","post_annot","179"
"Early.Erythroid","C1QBP","post_annot","180"
"Megakaryocyte","PF4","post_annot","181"
"Megakaryocyte","PPBP","post_annot","182"
"Megakaryocyte","HBD","post_annot","183"
"Megakaryocyte","GP9","post_annot","184"
"Megakaryocyte","PLEK","post_annot","185"
"Megakaryocyte","FCER1A","post_annot","186"
"Megakaryocyte","CMTM5","post_annot","187"
"Megakaryocyte","ITGA2B","post_annot","188"
"Megakaryocyte","LIMS1","post_annot","189"
"Megakaryocyte","NRGN","post_annot","190"
"Megakaryocyte","FERMT3","post_annot","191"
"Megakaryocyte","MYL9","post_annot","192"
"Megakaryocyte","LAT","post_annot","193"
"Megakaryocyte","PDLIM1","post_annot","194"
"Megakaryocyte","ILK","post_annot","195"
"Megakaryocyte","CXCL3","post_annot","196"
